発生日時月,発生日時日,発生日時時,発生日時分,天候,路面状態,道路形状,信号機,車道幅員,道路線形,衝突地点,label
12,30,17,51,5,3,7,7,2,9,1,1
1,3,19,0,1,1,7,7,3,9,1,1
1,13,13,15,1,1,1,1,11,9,30,0
12,29,10,21,1,4,1,1,19,9,30,1
1,31,21,10,1,1,1,7,12,9,30,0
1,8,12,35,1,1,1,7,12,7,30,1
1,29,14,50,1,1,14,7,3,9,1,0
1,12,20,20,1,1,14,7,5,9,1,1
1,9,13,15,1,1,1,1,15,9,30,0
1,5,11,58,2,4,1,4,15,9,30,0
12,31,11,0,1,1,1,4,12,9,30,1
1,26,15,47,1,1,14,7,3,9,20,0
12,18,8,30,1,3,14,7,6,9,1,1
12,27,11,58,1,1,14,7,3,9,1,0
1,24,14,30,1,1,14,7,1,7,1,0
1,10,9,20,1,1,1,8,18,9,30,0
1,22,19,46,1,1,14,7,3,8,1,1
1,29,12,23,1,1,14,7,4,9,1,1
1,5,17,30,1,1,14,7,5,9,1,1
1,20,10,26,1,1,14,7,2,9,20,1
1,10,15,40,1,1,1,7,12,9,30,0
1,16,19,58,1,1,14,7,5,9,20,1
1,16,13,45,1,1,1,1,16,9,30,0
12,15,15,10,2,2,7,7,2,9,1,0
12,24,15,25,2,1,14,7,3,9,1,1
1,17,18,10,2,1,14,7,1,8,1,0
11,2,11,20,1,1,14,7,3,9,1,1
1,15,14,5,2,1,12,7,4,9,1,1
1,17,9,47,1,1,1,7,11,9,30,0
1,22,10,35,1,1,1,1,18,9,30,0
1,6,11,30,2,1,14,7,2,9,1,0
1,30,16,7,2,1,14,7,4,9,1,1
1,14,10,20,1,1,14,7,3,9,1,0
1,10,8,54,2,1,1,1,15,9,30,0
1,20,14,27,1,1,1,1,16,9,30,0
12,1,0,50,3,2,1,1,17,9,30,1
1,18,9,16,1,1,0,7,0,0,20,1
1,17,17,55,1,1,0,7,0,0,20,0
1,4,14,40,1,1,14,7,3,9,1,0
1,14,6,30,1,1,1,7,15,9,30,1
1,8,17,20,1,1,14,7,3,9,1,0
1,20,7,10,1,1,14,7,3,9,1,1
12,28,2,47,1,1,14,7,2,9,1,1
1,21,8,25,1,1,1,7,12,9,30,0
1,12,10,20,1,1,1,7,11,9,30,0
1,16,11,50,1,2,14,7,3,9,1,0
1,18,11,30,1,1,1,7,15,9,30,0
1,15,23,53,1,1,1,7,15,9,30,1
1,18,13,5,1,1,7,1,3,9,1,0
12,27,10,15,1,1,14,7,1,9,1,1
1,5,17,50,1,1,14,7,1,9,1,1
12,31,17,50,2,1,14,7,4,7,1,1
1,10,16,45,2,2,0,7,0,0,20,1
12,23,9,28,1,1,1,7,16,9,30,0
1,23,16,10,1,1,1,7,11,9,30,0
1,22,21,50,2,2,7,8,5,9,1,1
1,24,20,5,1,1,14,7,3,9,1,1
12,26,14,10,1,1,14,7,6,9,1,1
1,15,6,52,1,1,1,7,15,9,30,0
1,29,10,17,1,1,1,8,16,9,30,0
1,19,19,40,1,1,1,1,11,8,30,0
9,28,9,20,2,1,14,7,4,7,1,0
1,12,8,30,1,1,1,7,11,9,30,1
1,28,10,46,1,1,14,7,4,7,1,0
1,21,12,15,1,1,1,8,18,9,30,0
12,27,16,5,1,1,14,7,4,8,1,1
1,16,12,35,1,1,14,7,6,9,1,1
1,28,17,6,1,1,1,7,15,9,30,1
1,2,19,10,1,1,1,7,11,9,30,0
1,8,9,9,1,3,7,7,3,9,1,1
1,6,13,35,5,2,13,7,2,5,1,0
1,6,8,15,1,3,1,7,15,9,30,0
1,14,15,45,1,1,13,7,1,4,1,0
12,30,12,29,1,1,1,2,12,9,30,1
1,19,6,50,1,1,14,7,3,9,1,0
1,5,8,48,1,1,1,7,12,9,30,0
1,23,8,52,1,1,1,7,11,9,30,1
1,19,13,40,1,1,1,7,14,8,30,1
1,13,16,50,1,1,1,1,16,9,30,0
1,16,18,7,3,2,1,1,19,9,30,0
1,5,18,12,1,1,7,1,3,9,1,1
1,20,8,5,1,1,1,1,15,9,30,0
10,13,8,39,3,2,1,7,12,9,30,1
1,11,20,58,1,1,7,1,5,9,1,1
1,27,21,38,2,1,1,1,15,9,30,1
1,5,1,51,1,1,14,7,3,9,1,0
1,21,17,27,1,1,1,7,15,9,30,0
12,28,13,31,1,1,14,7,5,9,1,0
1,8,7,25,1,1,7,1,3,9,1,1
1,17,18,55,1,1,14,7,5,9,1,1
1,21,8,56,1,1,1,7,14,9,30,0
1,24,12,0,2,2,7,1,4,9,1,1
1,12,17,35,1,1,14,7,4,9,1,1
1,20,16,15,1,1,1,1,15,7,30,0
1,27,18,40,1,1,14,7,4,9,1,0
1,5,11,25,1,1,1,1,15,9,30,0
1,13,17,12,5,3,0,7,0,0,20,1
1,14,11,45,1,1,14,7,3,7,1,1
1,7,7,58,1,3,14,7,3,9,1,0
1,20,18,50,1,1,14,7,5,9,1,1
1,20,9,20,1,1,14,7,2,9,1,1
12,25,15,55,1,3,1,1,18,9,30,1
1,21,8,30,1,1,14,7,3,8,1,0
1,20,9,55,1,1,14,7,3,9,1,0
1,19,13,30,2,1,14,7,3,9,1,0
1,25,8,14,1,1,1,1,15,9,30,1
1,4,19,57,1,1,14,7,4,9,1,0
1,22,10,42,1,1,1,7,11,9,30,1
12,28,12,5,1,1,1,7,14,9,30,0
1,18,7,45,1,1,14,7,4,9,1,0
1,14,17,35,1,1,1,1,15,9,30,0
1,7,10,40,1,3,14,7,5,9,1,1
1,2,8,55,2,3,1,1,15,9,30,1
1,5,14,20,1,1,14,7,4,9,1,1
1,1,9,15,1,1,14,7,5,9,1,0
1,18,8,5,1,1,14,7,2,9,1,0
1,3,20,40,2,3,14,7,3,9,1,1
1,21,7,26,1,1,7,7,1,9,1,0
12,26,13,40,1,1,1,7,12,9,30,1
1,10,11,55,2,1,7,1,3,9,1,1
1,14,15,44,1,1,14,7,3,9,1,0
1,23,13,43,2,1,1,1,14,8,30,0
1,19,19,18,2,1,14,7,3,9,1,1
12,29,14,5,1,1,14,7,1,9,1,0
1,2,17,20,5,4,1,7,13,9,30,1
1,30,22,20,1,1,14,7,3,9,1,0
12,30,10,45,1,1,14,7,5,9,1,1
1,1,9,25,1,1,14,7,5,9,1,1
1,13,6,16,1,1,14,7,3,9,1,0
1,4,13,37,1,1,1,1,19,3,30,1
1,4,8,20,1,1,7,7,3,9,1,1
1,12,7,10,2,3,13,7,3,4,1,1
12,26,14,45,1,1,0,7,0,0,20,0
1,11,23,0,2,2,14,7,3,8,1,0
1,11,18,0,1,1,0,7,0,0,20,1
1,25,5,30,1,1,14,7,3,9,20,0
1,31,21,20,1,1,14,1,6,9,1,1
12,28,15,40,2,3,7,1,3,9,1,1
1,4,16,15,5,4,7,7,3,9,1,1
1,7,0,12,2,3,12,7,3,7,1,1
12,18,7,20,2,1,14,7,4,9,1,1
1,18,10,50,1,1,1,7,12,9,30,0
1,20,11,52,1,1,1,7,15,9,30,0
1,6,20,42,2,3,14,7,3,8,20,1
12,25,13,20,1,4,1,1,14,9,30,1
1,17,18,3,1,1,1,7,11,9,30,1
1,15,18,45,1,1,14,7,2,9,1,1
1,1,11,20,1,1,14,7,3,9,1,1
1,19,15,15,2,2,7,1,5,9,1,1
1,29,17,25,1,1,1,2,12,9,30,0
1,8,14,0,1,1,1,7,11,9,30,1
1,12,6,20,1,1,1,7,12,9,30,1
1,5,11,15,1,1,1,7,15,9,30,0
1,6,11,9,5,2,1,7,15,9,30,0
12,10,17,3,1,1,1,7,12,9,30,0
12,30,14,21,1,1,14,7,3,7,1,1
1,17,20,5,2,3,14,7,2,9,1,1
12,23,19,13,2,4,1,1,15,9,30,1
1,24,6,27,1,1,1,7,11,9,30,1
1,6,22,10,2,3,14,7,4,9,1,0
1,20,8,40,1,1,14,7,4,9,1,0
1,12,17,40,1,1,14,7,4,9,1,0
1,12,8,20,1,1,14,7,3,9,1,1
1,29,15,30,1,1,1,7,12,9,30,0
1,3,12,51,1,1,7,1,5,9,1,1
1,7,9,53,1,3,1,1,15,9,30,1
1,2,13,20,1,1,14,7,3,9,1,0
1,12,17,55,1,1,14,7,2,8,1,1
1,13,11,23,1,1,11,7,3,1,1,0
1,5,16,50,1,1,14,7,2,9,1,0
1,9,17,7,1,1,14,7,3,9,1,1
1,23,17,5,2,3,7,1,3,9,1,1
1,14,14,37,1,1,13,7,3,6,1,1
1,22,11,45,1,1,1,7,14,9,30,0
1,4,11,53,2,1,14,7,3,9,1,0
12,28,16,40,1,1,7,7,6,9,1,1
12,30,0,5,1,1,14,7,4,9,1,1
1,27,13,55,1,1,14,7,5,9,1,1
1,2,16,0,3,2,14,7,3,9,1,0
12,4,17,21,1,1,11,7,3,9,1,1
12,27,17,4,1,1,14,7,3,8,1,1
1,7,21,0,1,1,7,1,3,9,1,1
1,11,8,18,1,3,14,7,3,9,1,1
1,2,14,5,1,2,1,7,15,9,30,0
1,8,15,20,2,4,1,7,15,9,30,1
1,11,14,42,2,2,14,7,3,9,1,1
1,2,12,0,1,1,1,7,16,9,30,0
1,29,11,18,1,1,1,7,14,9,30,0
1,12,7,40,1,3,1,1,12,9,30,0
1,26,18,20,1,1,14,7,5,9,1,1
1,22,9,45,1,1,14,7,3,9,1,0
1,10,18,0,2,1,1,1,19,9,30,0
11,28,15,25,2,1,0,7,0,0,20,0
1,18,17,38,1,1,13,7,3,3,1,1
1,12,7,52,1,2,14,7,3,9,1,0
12,4,10,15,1,1,14,7,3,9,1,0
1,18,22,15,2,3,7,1,4,9,1,1
1,13,11,29,1,1,14,7,3,9,1,0
1,3,11,42,5,4,14,7,3,9,1,1
1,6,6,55,1,1,1,7,12,9,30,0
1,3,11,45,5,4,14,7,5,9,1,1
1,24,15,24,1,1,14,7,3,9,1,0
1,16,19,15,1,1,1,7,15,9,30,0
1,9,13,10,1,1,0,7,0,0,20,0
1,6,11,55,2,1,1,7,15,9,30,0
1,11,22,0,1,2,14,7,3,9,1,0
1,13,14,49,1,1,14,7,4,9,1,0
1,14,11,22,1,1,14,7,3,9,1,0
12,9,12,15,1,1,14,7,4,9,1,1
1,20,11,10,1,1,14,7,3,9,20,0
1,10,15,55,1,1,14,7,4,9,1,0
12,31,14,8,5,3,14,7,4,9,1,0
1,24,16,55,1,1,1,7,11,9,30,0
12,28,9,0,5,4,7,1,5,9,1,1
12,16,7,50,1,1,1,1,17,9,30,1
12,28,10,30,2,1,7,7,3,9,1,1
12,29,18,0,1,1,14,7,3,9,1,1
1,15,13,25,1,1,14,7,5,9,1,0
12,28,19,13,1,1,14,7,5,9,1,0
1,3,19,5,2,3,1,1,12,9,30,1
1,18,8,0,5,4,1,1,14,9,30,1
1,31,10,21,1,1,1,7,11,9,30,1
1,20,12,55,1,1,1,7,12,9,30,1
1,29,18,28,1,1,14,7,3,9,1,1
1,11,18,0,3,2,7,1,3,9,1,0
12,28,17,7,1,1,1,1,12,9,30,0
1,15,12,40,2,3,14,7,2,9,1,1
1,6,10,42,5,2,14,7,4,9,1,0
1,12,7,25,1,1,1,7,11,9,30,0
1,25,14,40,1,1,1,7,15,9,30,0
1,5,17,49,1,1,14,7,5,9,1,1
1,1,14,40,1,1,1,7,15,9,30,0
1,26,9,1,1,2,1,1,15,7,30,1
1,17,12,53,1,1,7,7,3,9,1,1
12,22,10,52,1,1,7,7,4,9,1,0
1,29,11,50,1,1,14,7,5,9,1,0
1,30,12,20,1,1,0,7,0,0,20,0
1,2,22,45,5,1,11,7,4,9,1,0
1,13,14,30,1,1,0,7,0,0,20,0
1,4,6,12,5,3,13,7,3,6,1,1
1,1,9,50,5,4,1,7,15,9,30,1
1,14,19,30,5,4,14,7,3,9,1,1
1,17,17,0,5,4,13,7,2,4,1,0
1,1,15,40,1,1,7,1,2,9,1,0
11,25,19,26,1,1,11,7,1,9,1,0
12,28,18,53,1,1,14,7,3,9,1,0
1,13,9,50,1,1,0,7,0,0,20,0
12,4,16,14,1,1,14,7,4,9,1,1
1,11,8,15,1,2,14,7,3,9,1,1
1,24,18,0,1,1,14,7,2,9,1,0
1,22,9,20,1,1,1,1,16,9,30,0
12,1,7,5,3,2,1,7,12,9,30,1
12,25,11,0,1,1,13,7,4,6,1,1
1,16,12,56,1,1,1,1,12,9,30,0
1,22,1,48,1,4,13,7,3,5,1,1
1,19,18,5,1,1,14,7,5,9,1,1
12,13,12,25,1,1,7,7,4,9,1,1
12,19,13,40,1,1,7,7,1,9,1,1
1,29,12,15,1,1,1,7,11,9,30,0
1,10,5,40,2,1,14,7,5,9,1,1
1,9,8,40,1,1,1,1,18,9,30,1
1,6,9,13,2,1,7,7,4,9,1,1
1,15,18,40,2,1,14,7,5,9,1,1
12,17,19,28,5,2,14,7,4,9,1,0
1,23,13,47,1,1,0,7,0,0,20,1
1,8,14,25,1,1,14,7,1,9,1,1
1,11,6,33,3,2,14,7,3,9,1,0
1,10,18,10,1,1,1,1,18,9,30,0
1,7,11,20,1,2,14,7,1,7,1,1
1,17,12,10,2,1,1,7,11,9,30,0
12,20,16,5,2,3,13,7,3,6,1,1
1,20,17,10,1,1,1,7,15,9,30,1
1,7,17,40,1,1,1,1,14,9,30,0
1,14,15,15,1,1,1,7,12,8,30,0
12,24,16,20,3,2,1,1,18,9,30,1
1,14,8,10,1,1,1,7,14,9,30,0
10,6,13,40,1,1,0,7,0,0,20,0
1,19,9,10,2,2,7,1,5,9,1,1
1,21,5,58,1,1,14,7,3,9,1,0
1,22,13,35,2,1,1,1,15,9,30,1
12,21,16,40,1,1,1,7,14,9,30,1
1,27,20,35,2,1,1,7,11,9,30,0
1,17,18,10,1,1,1,1,18,9,30,0
1,3,7,52,1,1,0,7,0,0,20,0
1,7,8,0,1,3,14,1,3,9,1,1
1,14,11,22,1,1,7,7,4,9,1,1
1,9,12,50,1,1,0,7,0,0,20,0
1,22,10,48,1,1,14,7,4,9,1,1
12,27,9,35,1,1,1,1,15,9,30,1
1,9,9,7,2,2,7,1,4,9,1,0
1,17,15,10,1,1,13,7,3,6,1,1
1,21,16,42,1,1,13,7,2,1,1,0
1,27,11,38,1,1,1,7,15,9,30,0
1,22,15,24,1,1,1,7,12,9,30,1
1,8,4,16,1,3,14,7,3,9,1,0
1,14,9,45,1,1,1,1,16,9,30,1
1,6,11,10,1,3,1,7,14,7,30,1
1,7,16,20,1,3,14,7,4,9,1,1
1,7,15,10,1,1,14,7,3,9,1,1
12,31,4,45,5,4,14,7,3,9,1,0
1,12,18,0,1,1,1,7,15,9,30,0
8,3,11,45,1,1,14,7,1,9,1,1
1,3,16,15,5,4,1,7,12,9,30,1
1,2,18,40,3,2,1,1,16,9,30,0
1,19,19,42,1,1,13,7,2,3,1,1
1,2,20,44,1,3,1,7,15,9,30,1
1,7,18,3,1,3,0,7,0,0,20,0
12,31,0,30,2,3,14,7,4,9,1,1
1,22,10,55,1,1,14,7,3,9,1,1
1,16,19,15,1,1,14,7,5,9,20,0
1,5,17,48,1,1,1,7,12,8,30,0
12,26,10,35,1,4,14,7,4,9,1,1
1,17,20,0,2,1,1,1,18,9,30,0
1,25,8,30,1,1,1,7,16,9,30,0
10,23,19,10,1,1,14,7,4,9,1,1
1,21,17,15,1,1,14,7,5,9,1,1
1,7,8,30,1,2,1,8,19,9,30,0
1,26,13,17,1,1,14,7,4,9,1,1
12,19,20,20,1,4,1,1,15,9,30,1
12,27,11,10,1,1,14,7,3,7,1,1
1,13,16,0,1,1,7,1,5,9,1,1
1,18,14,46,1,1,14,7,4,9,1,0
1,5,12,5,5,3,1,1,15,9,30,1
1,17,22,42,1,1,1,7,12,6,30,0
1,8,14,50,1,1,1,7,14,9,30,0
1,7,11,35,1,3,7,7,3,9,1,1
1,8,12,10,1,1,1,7,12,9,30,1
1,8,14,37,1,1,7,7,3,9,1,1
1,1,13,40,2,3,14,7,3,7,1,1
1,4,18,20,2,3,14,7,4,9,1,0
1,30,14,30,1,1,14,7,6,9,1,1
1,3,14,35,1,1,1,1,15,9,30,1
1,28,11,44,1,1,7,1,5,8,1,0
1,12,8,15,1,1,13,7,4,2,1,0
1,4,10,7,1,1,1,1,15,9,30,0
1,21,11,15,2,4,7,2,3,9,1,1
1,11,20,50,2,2,1,1,15,9,30,0
12,14,18,57,1,1,1,7,12,9,30,0
12,20,13,26,3,2,7,1,3,9,1,0
12,17,19,56,5,2,1,1,19,9,30,0
1,3,15,6,1,3,1,1,15,9,30,1
1,6,17,8,5,2,1,1,15,9,30,0
1,3,23,38,5,2,1,7,15,9,30,0
1,28,11,59,1,1,14,7,3,9,1,0
1,31,10,45,1,1,1,7,15,9,30,0
1,15,10,20,1,1,1,7,15,9,30,0
12,26,14,43,5,3,7,1,4,9,1,1
1,27,22,5,1,1,1,1,16,9,30,0
