発生日時月,発生日時日,発生日時時,発生日時分,天候,路面状態,道路形状,信号機,車道幅員,道路線形,衝突地点,label
1,27,8,5,1,1,1,1,15,9,30,0
1,15,8,35,1,1,1,7,15,8,30,1
1,9,13,0,2,1,1,7,15,9,30,1
1,27,10,47,1,1,14,7,4,9,1,1
1,24,5,45,2,1,1,8,15,9,30,0
1,7,19,30,5,4,1,1,14,9,30,1
1,3,14,12,2,4,13,7,4,5,1,1
1,2,10,50,1,1,14,7,4,9,1,1
1,17,7,32,1,1,14,7,3,9,1,1
1,15,15,40,1,1,1,7,12,9,30,0
1,18,22,12,1,1,1,1,12,9,30,0
1,30,16,38,2,1,1,7,11,9,30,0
1,17,7,47,1,1,1,7,15,9,30,1
1,20,18,10,1,1,14,7,3,9,1,1
1,8,16,54,1,1,1,7,15,9,30,1
12,18,18,55,5,3,7,7,3,9,1,1
12,12,18,57,3,2,1,1,19,9,30,0
1,26,16,20,1,1,14,7,3,7,1,1
1,8,17,4,1,1,1,1,15,9,30,1
1,26,10,37,1,1,14,7,5,9,1,1
1,5,8,25,1,1,14,7,3,9,1,1
12,24,20,57,1,1,1,7,15,9,30,0
1,18,15,35,1,1,1,7,12,9,30,0
1,8,13,4,1,1,14,7,3,9,1,0
1,2,11,50,1,1,14,7,4,9,1,0
1,3,23,39,1,1,1,1,19,9,30,1
1,10,12,55,2,1,1,7,11,9,30,0
1,28,17,40,1,1,13,7,4,1,1,0
1,12,7,17,5,3,14,7,5,9,1,1
1,26,11,39,2,1,1,7,12,9,30,1
1,8,11,36,1,1,1,1,15,9,30,0
12,8,20,5,3,2,13,7,3,6,1,1
1,12,8,15,1,1,14,7,3,9,1,0
12,24,9,15,1,1,1,7,15,9,30,0
1,15,10,15,1,1,14,7,3,9,1,0
1,21,11,57,1,4,0,7,0,0,20,1
1,24,11,42,1,1,0,7,0,0,20,0
1,2,12,53,1,4,14,7,3,9,20,1
1,10,7,13,1,1,14,7,3,9,1,1
1,4,18,20,1,1,14,7,4,9,1,0
1,8,16,20,1,1,1,7,14,8,30,0
1,19,21,20,1,1,1,7,12,9,30,1
1,28,7,40,1,1,1,7,12,9,30,0
1,13,16,0,1,1,1,1,15,9,30,1
1,7,9,34,1,3,7,7,3,9,1,1
1,5,18,40,1,1,14,7,5,9,1,0
12,6,17,58,2,2,14,7,4,9,1,0
1,10,19,16,1,1,1,1,16,9,30,1
1,4,15,43,5,3,14,7,3,8,1,1
1,8,13,45,1,1,1,1,15,9,30,0
1,12,9,30,1,1,1,8,16,9,30,0
1,17,9,45,1,1,1,7,12,8,30,1
1,2,14,30,2,1,13,7,3,6,1,1
1,7,10,52,1,1,1,7,15,9,30,1
1,19,11,40,2,1,1,7,15,9,30,0
1,12,9,35,1,1,14,7,5,9,1,0
1,6,16,25,5,3,14,7,3,9,1,1
11,19,12,27,1,1,14,7,4,9,1,1
12,26,8,15,1,1,14,7,1,9,1,1
12,31,5,30,1,1,7,1,5,9,1,0
1,9,12,33,1,1,14,7,3,9,1,0
1,11,12,16,3,2,14,7,3,9,1,1
1,18,8,50,1,1,1,7,12,9,30,0
1,31,12,43,1,1,1,1,15,9,30,0
12,20,6,20,1,1,1,7,12,4,30,1
1,7,6,25,1,3,14,7,6,9,1,1
12,29,6,35,1,2,14,7,3,9,1,0
1,20,20,51,1,1,1,7,15,9,30,0
1,5,16,56,1,3,14,7,3,9,1,1
1,3,14,0,1,3,1,2,15,9,30,1
1,24,9,50,1,1,14,7,2,9,1,1
1,31,15,15,1,1,1,7,13,9,30,0
12,24,15,45,1,1,14,7,3,9,1,1
10,11,12,10,1,1,11,7,3,9,1,1
1,29,11,40,2,1,14,7,3,9,1,1
1,22,14,20,1,1,1,1,15,9,30,1
12,24,18,40,1,1,14,7,5,9,1,1
1,21,13,50,1,1,1,1,15,9,30,0
1,24,11,56,1,1,1,1,15,9,30,1
1,23,12,22,1,4,1,1,14,9,30,1
12,14,10,33,1,1,0,7,0,0,20,1
12,29,13,50,1,1,14,7,1,9,1,1
1,14,10,50,1,1,1,7,12,9,30,1
12,29,21,13,1,1,7,7,6,9,1,1
1,12,19,6,1,1,1,1,18,9,30,0
1,7,10,40,1,3,7,1,4,9,1,1
1,27,12,40,1,1,7,7,3,9,1,0
1,7,5,53,1,3,14,7,3,9,1,0
1,10,21,4,1,1,1,1,18,9,30,1
1,21,2,48,1,1,1,3,15,9,30,1
1,8,7,50,1,1,1,8,19,9,30,0
1,20,5,25,5,4,1,7,15,9,30,0
1,6,18,7,1,2,1,1,13,9,30,0
1,20,17,15,1,1,13,7,5,4,1,1
1,2,9,58,1,1,1,7,11,9,30,1
1,6,0,9,1,1,14,7,5,9,1,0
1,27,17,27,1,1,0,7,0,0,20,0
1,3,17,45,1,1,14,7,5,9,1,1
1,20,17,45,1,1,14,7,5,9,1,1
1,21,12,50,1,1,13,7,3,6,20,0
1,25,8,0,1,1,7,1,3,7,1,0
12,21,19,5,1,1,1,7,15,8,30,0
1,7,17,15,1,1,7,7,3,7,1,0
12,29,14,24,1,2,7,1,3,9,1,1
1,20,11,53,1,1,13,7,3,4,1,0
1,12,10,34,1,1,1,7,14,9,30,0
1,5,22,5,1,1,7,1,3,9,1,0
12,31,16,10,1,1,0,7,0,0,20,1
1,21,7,0,1,1,1,7,18,9,30,1
1,21,14,15,1,1,7,7,3,8,1,0
1,19,18,30,1,1,1,7,15,9,30,0
1,4,17,20,1,1,1,1,15,9,30,0
1,3,8,25,1,1,1,1,18,9,30,1
12,27,14,35,1,1,7,1,1,9,1,1
12,30,12,35,1,1,1,7,15,9,30,1
1,24,0,50,1,1,14,7,3,9,1,1
1,4,10,25,1,3,1,1,18,9,30,1
1,6,17,10,5,2,14,7,4,9,1,0
1,1,10,20,1,3,13,7,6,6,1,1
1,9,17,5,1,2,1,7,15,9,30,1
1,7,16,10,1,1,1,1,15,9,30,1
12,2,19,25,3,1,1,7,13,9,30,1
1,24,17,25,1,1,1,7,15,9,30,0
12,25,14,4,1,1,14,7,3,7,20,0
1,14,8,7,3,2,14,7,6,9,1,0
1,27,17,35,1,1,1,1,15,9,30,0
1,21,5,36,1,1,1,1,14,8,30,1
1,28,18,45,1,1,14,7,6,8,1,1
1,25,7,5,1,1,1,1,15,9,30,0
1,13,17,5,2,4,13,7,3,3,1,0
1,23,11,30,1,1,14,7,4,9,1,1
1,10,15,43,1,1,1,7,12,9,30,1
1,20,21,37,1,1,14,7,4,9,1,0
1,6,16,53,5,4,14,7,4,9,1,1
1,20,18,22,1,1,14,7,3,9,20,1
